Time,X,Y,Z,ItemId
22:37:37.814,34.5,-14.35342,0,_Rag
22:37:38.815,32.28773,-16.54901,0,_Rag
22:37:39.816,34.5,-13.44371,0,_Rag
22:37:40.817,28.25765,-16.54903,0,_Rag
22:37:41.820,27.5083,-15.139,0,_Rag
22:37:42.821,32.5,-12.0819,0,_Rag
22:37:43.824,37.41123,-10.54904,0,_Rag
22:37:44.827,37.04445,-10.54904,0,_Rag
22:37:45.828,34.5,-16.54866,0,_Rag
22:37:46.829,26.18345,-16.58812,0,_Rag
22:37:47.831,26.53626,-15.84806,0,_Rag
22:37:48.832,32.5,-11.00894,0,_Rag
22:37:49.833,38.26159,-10.54902,0,_Rag
22:37:50.834,35.15799,-8.45063,0,_Rag
22:37:51.833,29.58651,-8.548891,0,null
22:37:52.836,31.62665,-9.417035,0,null
22:37:53.837,32.27095,-13.44216,0,_Rag
22:37:54.840,30.5,-8.969647,0,_Rag
22:37:55.842,30.65639,-12.37795,0,_Rag
22:37:56.843,32.5,-9.405276,0,_Rag
22:37:57.845,27.15487,-8.548759,0,_Rag
22:37:58.846,24.84743,-6.548987,0,_Rag
22:37:59.849,32.65714,-4.944372,0,null
22:38:00.848,33.99191,-10.6238,0,null
22:38:01.851,31.47818,-13.32723,0,_Rag
22:38:02.851,35.85209,-8.90384,0,_Rag
22:38:03.853,37.74794,-10.54905,0,_Rag
22:38:04.855,42.83046,-7.548882,0,_Rag
22:38:05.858,43.79321,-7.548882,0,_Rag
22:38:06.858,38.13532,-4.156586,0,null
22:38:07.861,40.59275,-6.797779,0,null
22:38:08.861,37.33389,-10.5488,0,_Rag
22:38:09.862,37.33389,-10.5488,0,_Rag
22:38:10.864,37.87096,-10.5488,0,null
22:38:11.865,33.49134,-7.093382,0,null
22:38:12.866,27.05931,-6.69428,0,null
22:38:13.870,23.60423,-3.059555,0,null
22:38:14.873,20.13345,-1.900487,0,null
22:38:15.873,11.12321,-0.5486402,0,_Box
22:38:16.873,14.97172,-2.862246,0,_Box
22:38:17.874,14.50837,-3.514123,0,null
22:38:18.874,13.53789,-4.115543,0,_Box
22:38:19.876,11.98534,-6.548652,0,null
22:38:20.878,7.840418,-8.548635,0,_Box
22:38:21.881,8.713544,-16.54886,0,_Box
22:38:22.883,10.97245,-15.56929,0,null
22:38:23.885,5.511306,-16.54812,0,null
22:38:24.888,6.5,-7.942543,0,null
22:38:25.890,10.77224,-4.952544,0,null
22:38:26.891,16.08632,-3.546682,0,null
22:38:27.894,18.5,1.820182,0,null
22:38:28.896,18.15162,10.6011,0,null
22:38:29.900,9.465083,10.01833,0,null
22:38:30.900,12.5,15.98757,0,null
